fact_id,data_value,low_confidence_limit,high_confidence_limit,location_id,topic_id,class_id,year_start,year_end,question_id,stratification1_id,stratification2_id,stratification_categoryid2
BRFSS~2022~2022~9001~Q35~TOC03~AGE~OVERALL,5.9,5.6,6.2,9001,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~9004~Q35~TOC03~AGE~RACE,6.3,5.3,7.3,9004,TOC03,C01,2022,2022,Q35,5064,HIS,RACE
BRFSS~2022~2022~16~Q35~TOC03~AGE~GENDER,6.9,5.6,8.2,16,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~51~Q35~TOC03~AGE~OVERALL,6.6,5.9,7.3,51,TOC03,C01,2022,2022,Q35,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~11~Q35~TOC03~AGE~RACE,4.3,3.0,5.7,11,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~12~Q35~TOC03~AGE~RACE,10.4,6.2,14.5,12,TOC03,C01,2022,2022,Q35,AGE_OVERALL,NAA,RACE
BRFSS~2022~2022~54~Q35~TOC03~AGE~GENDER,8.1,7.3,8.9,54,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~27~Q35~TOC03~AGE~GENDER,5.3,4.6,6.0,27,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~08~Q35~TOC03~AGE~GENDER,5.2,4.3,6.2,8,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~18~Q35~TOC03~AGE~RACE,5.4,3.2,7.5,18,TOC03,C01,2022,2022,Q35,AGE_OVERALL,HIS,RACE
BRFSS~2022~2022~21~Q35~TOC03~AGE~OVERALL,7.8,6.9,8.6,21,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~30~Q35~TOC03~AGE~GENDER,6.7,5.5,7.9,30,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~23~Q35~TOC03~AGE~GENDER,7.4,5.9,8.8,23,TOC03,C01,2022,2022,Q35,65PLUS,MALE,GENDER
BRFSS~2022~2022~47~Q35~TOC03~AGE~RACE,6.2,3.1,9.3,47,TOC03,C01,2022,2022,Q35,65PLUS,BLK,RACE
BRFSS~2022~2022~30~Q35~TOC03~AGE~OVERALL,6.3,5.6,7.0,30,TOC03,C01,2022,2022,Q35,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~13~Q35~TOC03~AGE~RACE,6.5,5.5,7.4,13,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~34~Q35~TOC03~AGE~GENDER,5.5,4.4,6.5,34,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~35~Q35~TOC03~AGE~RACE,7.9,6.1,9.6,35,TOC03,C01,2022,2022,Q35,65PLUS,HIS,RACE
BRFSS~2022~2022~45~Q35~TOC03~AGE~OVERALL,5.9,5.3,6.5,45,TOC03,C01,2022,2022,Q35,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~51~Q35~TOC03~AGE~OVERALL,5.9,5.4,6.3,51,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~45~Q35~TOC03~AGE~GENDER,5.5,4.7,6.2,45,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~55~Q35~TOC03~AGE~GENDER,6.3,5.5,7.2,55,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~47~Q35~TOC03~AGE~RACE,7.2,5.9,8.4,47,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~33~Q35~TOC03~AGE~GENDER,4.6,3.9,5.2,33,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~32~Q35~TOC03~AGE~GENDER,9.1,6.8,11.3,32,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~27~Q35~TOC03~AGE~OVERALL,5.4,4.9,6.0,27,TOC03,C01,2022,2022,Q35,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~51~Q35~TOC03~AGE~GENDER,5.7,4.6,6.9,51,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~05~Q35~TOC03~AGE~GENDER,7.3,6.1,8.4,5,TOC03,C01,2022,2022,Q35,65PLUS,MALE,GENDER
BRFSS~2022~2022~01~Q35~TOC03~AGE~GENDER,8.1,6.9,9.4,1,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~50~Q35~TOC03~AGE~GENDER,5.5,4.4,6.6,50,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~53~Q35~TOC03~AGE~RACE,4.0,2.5,5.5,53,TOC03,C01,2022,2022,Q35,65PLUS,HIS,RACE
BRFSS~2022~2022~35~Q35~TOC03~AGE~RACE,7.3,5.9,8.6,35,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~02~Q35~TOC03~AGE~GENDER,6.1,5.2,7.0,2,TOC03,C01,2022,2022,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2022~2022~36~Q35~TOC03~AGE~GENDER,6.1,5.1,7.0,36,TOC03,C01,2022,2022,Q35,65PLUS,MALE,GENDER
BRFSS~2022~2022~59~Q35~TOC03~AGE~GENDER,6.2,6.1,6.4,59,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~28~Q35~TOC03~AGE~OVERALL,7.6,6.6,8.7,28,TOC03,C01,2022,2022,Q35,5064,OVERALL,OVERALL
BRFSS~2022~2022~18~Q35~TOC03~AGE~GENDER,5.9,5.3,6.5,18,TOC03,C01,2022,2022,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2022~2022~28~Q35~TOC03~AGE~RACE,7.0,5.6,8.4,28,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~20~Q35~TOC03~AGE~GENDER,6.3,5.3,7.2,20,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~24~Q35~TOC03~AGE~GENDER,4.6,4.0,5.3,24,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~29~Q35~TOC03~AGE~RACE,8.9,4.5,13.2,29,TOC03,C01,2022,2022,Q35,65PLUS,BLK,RACE
BRFSS~2022~2022~26~Q35~TOC03~AGE~RACE,6.3,4.6,8.0,26,TOC03,C01,2022,2022,Q35,65PLUS,BLK,RACE
BRFSS~2022~2022~01~Q35~TOC03~AGE~RACE,8.2,7.3,9.1,1,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~20~Q35~TOC03~AGE~RACE,11.0,7.1,14.8,20,TOC03,C01,2022,2022,Q35,5064,BLK,RACE
BRFSS~2022~2022~23~Q35~TOC03~AGE~RACE,6.1,5.3,6.9,23,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~19~Q35~TOC03~AGE~RACE,5.3,4.9,5.8,19,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~23~Q35~TOC03~AGE~RACE,6.4,5.9,6.9,23,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~13~Q35~TOC03~AGE~GENDER,7.2,6.5,7.9,13,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~59~Q35~TOC03~AGE~RACE,6.0,5.8,6.2,59,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~35~Q35~TOC03~AGE~GENDER,7.9,6.7,9.1,35,TOC03,C01,2022,2022,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2022~2022~48~Q35~TOC03~AGE~GENDER,6.2,5.3,7.1,48,TOC03,C01,2022,2022,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2022~2022~55~Q35~TOC03~AGE~RACE,11.6,8.0,15.1,55,TOC03,C01,2022,2022,Q35,5064,BLK,RACE
BRFSS~2022~2022~45~Q35~TOC03~AGE~RACE,5.7,5.1,6.4,45,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~09~Q35~TOC03~AGE~RACE,4.5,3.8,5.2,9,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~34~Q35~TOC03~AGE~RACE,4.7,4.1,5.4,34,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~08~Q35~TOC03~AGE~GENDER,5.7,5.1,6.4,8,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~54~Q35~TOC03~AGE~GENDER,8.5,7.1,9.9,54,TOC03,C01,2022,2022,Q35,65PLUS,MALE,GENDER
BRFSS~2022~2022~10~Q35~TOC03~AGE~OVERALL,5.7,4.8,6.7,10,TOC03,C01,2022,2022,Q35,5064,OVERALL,OVERALL
BRFSS~2022~2022~24~Q35~TOC03~AGE~GENDER,4.8,4.3,5.2,24,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~15~Q35~TOC03~AGE~GENDER,5.7,4.8,6.6,15,TOC03,C01,2022,2022,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2022~2022~51~Q35~TOC03~AGE~RACE,6.1,5.5,6.6,51,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~04~Q35~TOC03~AGE~GENDER,5.9,5.1,6.8,4,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~17~Q35~TOC03~AGE~GENDER,5.5,4.2,6.9,17,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~11~Q35~TOC03~AGE~RACE,5.2,3.5,6.9,11,TOC03,C01,2022,2022,Q35,65PLUS,BLK,RACE
BRFSS~2022~2022~30~Q35~TOC03~AGE~RACE,6.1,5.4,6.8,30,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~38~Q35~TOC03~AGE~GENDER,5.1,4.2,6.0,38,TOC03,C01,2022,2022,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2022~2022~40~Q35~TOC03~AGE~RACE,6.7,6.1,7.3,40,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~35~Q35~TOC03~AGE~RACE,8.3,6.5,10.2,35,TOC03,C01,2022,2022,Q35,5064,HIS,RACE
BRFSS~2022~2022~36~Q35~TOC03~AGE~OVERALL,5.8,5.4,6.3,36,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~49~Q35~TOC03~AGE~OVERALL,5.3,4.7,5.9,49,TOC03,C01,2022,2022,Q35,5064,OVERALL,OVERALL
BRFSS~2022~2022~47~Q35~TOC03~AGE~GENDER,7.1,6.2,8.0,47,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~55~Q35~TOC03~AGE~RACE,5.7,5.3,6.2,55,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~21~Q35~TOC03~AGE~GENDER,6.4,4.6,8.2,21,TOC03,C01,2022,2022,Q35,65PLUS,MALE,GENDER
BRFSS~2022~2022~42~Q35~TOC03~AGE~RACE,5.5,4.3,6.7,42,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~54~Q35~TOC03~AGE~OVERALL,8.3,7.7,8.9,54,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~05~Q35~TOC03~AGE~OVERALL,7.4,6.8,8.0,5,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~31~Q35~TOC03~AGE~GENDER,6.0,4.9,7.1,31,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~41~Q35~TOC03~AGE~GENDER,6.1,5.3,6.9,41,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~49~Q35~TOC03~AGE~GENDER,5.6,4.7,6.4,49,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~09~Q35~TOC03~AGE~GENDER,5.8,4.8,6.9,9,TOC03,C01,2022,2022,Q35,65PLUS,MALE,GENDER
BRFSS~2022~2022~55~Q35~TOC03~AGE~RACE,5.9,5.2,6.5,55,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~53~Q35~TOC03~AGE~RACE,5.6,4.1,7.1,53,TOC03,C01,2022,2022,Q35,AGE_OVERALL,ASN,RACE
BRFSS~2022~2022~19~Q35~TOC03~AGE~GENDER,6.3,5.3,7.3,19,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~31~Q35~TOC03~AGE~OVERALL,5.8,5.0,6.6,31,TOC03,C01,2022,2022,Q35,5064,OVERALL,OVERALL
BRFSS~2022~2022~06~Q35~TOC03~AGE~RACE,6.7,4.7,8.8,6,TOC03,C01,2022,2022,Q35,65PLUS,HIS,RACE
BRFSS~2022~2022~37~Q35~TOC03~AGE~RACE,5.4,2.6,8.2,37,TOC03,C01,2022,2022,Q35,65PLUS,BLK,RACE
BRFSS~2022~2022~24~Q35~TOC03~AGE~RACE,5.4,4.3,6.5,24,TOC03,C01,2022,2022,Q35,5064,BLK,RACE
BRFSS~2022~2022~53~Q35~TOC03~AGE~RACE,6.3,5.1,7.5,53,TOC03,C01,2022,2022,Q35,AGE_OVERALL,HIS,RACE
BRFSS~2022~2022~29~Q35~TOC03~AGE~RACE,7.8,5.3,10.3,29,TOC03,C01,2022,2022,Q35,AGE_OVERALL,BLK,RACE
BRFSS~2022~2022~42~Q35~TOC03~AGE~GENDER,5.9,4.1,7.7,42,TOC03,C01,2022,2022,Q35,65PLUS,MALE,GENDER
BRFSS~2022~2022~23~Q35~TOC03~AGE~OVERALL,6.5,6.0,7.0,23,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~34~Q35~TOC03~AGE~RACE,7.9,5.5,10.3,34,TOC03,C01,2022,2022,Q35,5064,BLK,RACE
BRFSS~2022~2022~20~Q35~TOC03~AGE~RACE,5.7,5.3,6.2,20,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~45~Q35~TOC03~AGE~OVERALL,6.7,6.0,7.4,45,TOC03,C01,2022,2022,Q35,5064,OVERALL,OVERALL
BRFSS~2022~2022~59~Q35~TOC03~AGE~OVERALL,6.3,6.1,6.5,59,TOC03,C01,2022,2022,Q35,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~10~Q35~TOC03~AGE~GENDER,5.7,4.3,7.1,10,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~36~Q35~TOC03~AGE~RACE,5.1,2.8,7.4,36,TOC03,C01,2022,2022,Q35,5064,ASN,RACE
BRFSS~2022~2022~06~Q35~TOC03~AGE~RACE,6.0,5.1,6.9,6,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~13~Q35~TOC03~AGE~RACE,5.7,4.1,7.2,13,TOC03,C01,2022,2022,Q35,65PLUS,BLK,RACE
BRFSS~2022~2022~23~Q35~TOC03~AGE~RACE,6.6,5.9,7.4,23,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~08~Q35~TOC03~AGE~RACE,5.0,4.5,5.5,8,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~59~Q35~TOC03~AGE~RACE,6.6,6.0,7.1,59,TOC03,C01,2022,2022,Q35,5064,HIS,RACE
BRFSS~2022~2022~16~Q35~TOC03~AGE~OVERALL,6.8,6.0,7.6,16,TOC03,C01,2022,2022,Q35,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~10~Q35~TOC03~AGE~RACE,6.4,5.5,7.3,10,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~06~Q35~TOC03~AGE~OVERALL,6.2,5.7,6.7,6,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~35~Q35~TOC03~AGE~RACE,4.8,3.6,5.9,35,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~39~Q35~TOC03~AGE~RACE,6.4,6.0,6.8,39,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~49~Q35~TOC03~AGE~RACE,6.7,5.9,7.4,49,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~44~Q35~TOC03~AGE~GENDER,6.7,5.7,7.7,44,TOC03,C01,2022,2022,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2022~2022~46~Q35~TOC03~AGE~GENDER,4.5,3.3,5.7,46,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~50~Q35~TOC03~AGE~GENDER,5.8,5.0,6.5,50,TOC03,C01,2022,2022,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2022~2022~41~Q35~TOC03~AGE~GENDER,5.9,4.8,7.1,41,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~29~Q35~TOC03~AGE~GENDER,7.0,6.0,7.9,29,TOC03,C01,2022,2022,Q35,AGE_OVERALL,MALE,GENDER
BRFSS~2022~2022~01~Q35~TOC03~AGE~RACE,6.2,5.1,7.3,1,TOC03,C01,2022,2022,Q35,AGE_OVERALL,BLK,RACE
BRFSS~2022~2022~12~Q35~TOC03~AGE~GENDER,7.4,5.7,9.1,12,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~29~Q35~TOC03~AGE~GENDER,6.0,5.3,6.7,29,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~31~Q35~TOC03~AGE~GENDER,5.8,4.8,6.9,31,TOC03,C01,2022,2022,Q35,65PLUS,MALE,GENDER
BRFSS~2022~2022~10~Q35~TOC03~AGE~OVERALL,6.4,5.2,7.6,10,TOC03,C01,2022,2022,Q35,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~04~Q35~TOC03~AGE~RACE,7.9,5.3,10.5,4,TOC03,C01,2022,2022,Q35,5064,NAA,RACE
BRFSS~2022~2022~21~Q35~TOC03~AGE~GENDER,8.3,7.1,9.5,21,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~33~Q35~TOC03~AGE~RACE,4.9,4.4,5.5,33,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~46~Q35~TOC03~AGE~GENDER,3.7,2.3,5.2,46,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~32~Q35~TOC03~AGE~RACE,6.9,5.1,8.6,32,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~32~Q35~TOC03~AGE~RACE,11.4,7.2,15.6,32,TOC03,C01,2022,2022,Q35,5064,HIS,RACE
BRFSS~2022~2022~22~Q35~TOC03~AGE~GENDER,8.4,6.9,10.0,22,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~44~Q35~TOC03~AGE~OVERALL,6.2,5.4,7.1,44,TOC03,C01,2022,2022,Q35,5064,OVERALL,OVERALL
BRFSS~2022~2022~12~Q35~TOC03~AGE~GENDER,6.0,5.1,7.0,12,TOC03,C01,2022,2022,Q35,5064,FEMALE,GENDER
BRFSS~2022~2022~33~Q35~TOC03~AGE~OVERALL,5.4,4.9,5.9,33,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~05~Q35~TOC03~AGE~RACE,6.5,5.0,7.9,5,TOC03,C01,2022,2022,Q35,AGE_OVERALL,BLK,RACE
BRFSS~2022~2022~19~Q35~TOC03~AGE~OVERALL,5.6,5.0,6.3,19,TOC03,C01,2022,2022,Q35,5064,OVERALL,OVERALL
BRFSS~2022~2022~11~Q35~TOC03~AGE~OVERALL,5.1,4.0,6.2,11,TOC03,C01,2022,2022,Q35,5064,OVERALL,OVERALL
BRFSS~2022~2022~18~Q35~TOC03~AGE~RACE,6.1,5.5,6.7,18,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~33~Q35~TOC03~AGE~GENDER,5.3,4.7,5.9,33,TOC03,C01,2022,2022,Q35,AGE_OVERALL,FEMALE,GENDER
BRFSS~2022~2022~54~Q35~TOC03~AGE~RACE,8.4,7.5,9.2,54,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~02~Q35~TOC03~AGE~RACE,7.0,6.0,8.0,2,TOC03,C01,2022,2022,Q35,65PLUS,WHT,RACE
BRFSS~2022~2022~39~Q35~TOC03~AGE~RACE,7.9,5.7,10.1,39,TOC03,C01,2022,2022,Q35,5064,BLK,RACE
BRFSS~2022~2022~09~Q35~TOC03~AGE~RACE,6.4,4.5,8.3,9,TOC03,C01,2022,2022,Q35,AGE_OVERALL,BLK,RACE
BRFSS~2022~2022~04~Q35~TOC03~AGE~GENDER,6.1,4.9,7.4,4,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~18~Q35~TOC03~AGE~RACE,5.9,5.4,6.3,18,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~59~Q35~TOC03~AGE~GENDER,6.2,5.9,6.4,59,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~40~Q35~TOC03~AGE~OVERALL,6.4,5.7,7.2,40,TOC03,C01,2022,2022,Q35,65PLUS,OVERALL,OVERALL
BRFSS~2022~2022~48~Q35~TOC03~AGE~RACE,6.2,5.0,7.3,48,TOC03,C01,2022,2022,Q35,AGE_OVERALL,HIS,RACE
BRFSS~2022~2022~24~Q35~TOC03~AGE~RACE,5.1,4.7,5.6,24,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~34~Q35~TOC03~AGE~RACE,5.6,3.1,8.1,34,TOC03,C01,2022,2022,Q35,65PLUS,BLK,RACE
BRFSS~2022~2022~28~Q35~TOC03~AGE~OVERALL,7.4,6.6,8.3,28,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~02~Q35~TOC03~AGE~RACE,7.0,5.2,8.8,2,TOC03,C01,2022,2022,Q35,AGE_OVERALL,NAA,RACE
BRFSS~2022~2022~26~Q35~TOC03~AGE~GENDER,5.9,4.9,6.8,26,TOC03,C01,2022,2022,Q35,5064,MALE,GENDER
BRFSS~2022~2022~19~Q35~TOC03~AGE~GENDER,5.6,4.7,6.5,19,TOC03,C01,2022,2022,Q35,65PLUS,FEMALE,GENDER
BRFSS~2022~2022~33~Q35~TOC03~AGE~RACE,5.2,4.8,5.7,33,TOC03,C01,2022,2022,Q35,AGE_OVERALL,WHT,RACE
BRFSS~2022~2022~53~Q35~TOC03~AGE~RACE,5.5,5.1,5.9,53,TOC03,C01,2022,2022,Q35,5064,WHT,RACE
BRFSS~2022~2022~24~Q35~TOC03~AGE~OVERALL,5.1,4.7,5.5,24,TOC03,C01,2022,2022,Q35,AGE_OVERALL,OVERALL,OVERALL
BRFSS~2022~2022~40~Q35~TOC03~AGE~RACE,5.3,3.1,7.4,40,TOC03,C01,2022,2022,Q35,AGE_OVERALL,BLK,RACE
